Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Series A - CyberSmart,https://www.crunchbase.com/funding_round/cybersmart-2-series-a--573ab46d,"London, England, United Kingdom, Europe",CyberSmart,https://www.crunchbase.com/organization/cybersmart-2,Series A,5500000,GBP,6913300,2020-07-14,IQ Capital,1,CyberSmart is an automated end-to-end cyber security compliance platform that helps SMBs.,"B2B, Compliance, Cyber Security, InsurTech, Network Security, Risk Management, SaaS"
Series A - FiveAI,https://www.crunchbase.com/funding_round/fiveai-series-a--437e7574,"Cambridge, Cambridgeshire, United Kingdom, Europe",FiveAI,https://www.crunchbase.com/organization/fiveai,Series A,35000000,USD,35000000,2017-09-05,"Amadeus Capital Partners, Kindred Capital, Lakestar, Notion Capital",4,FiveAI provides a software platform designed for providing a solution in urban mobility in public transport to complex urban environments.,"Artificial Intelligence, Autonomous Vehicles, Machine Learning, Software"
Series A - InstaDeep,https://www.crunchbase.com/funding_round/instadeep-series-a--53de9b88,"London, England, United Kingdom, Europe",InstaDeep,https://www.crunchbase.com/organization/instadeep,Series A,7000000,USD,7000000,2019-05-09,"AfricInvest, Bossanova Investimentos, Endeavor Catalyst, Malek Meslemani",4,"InstaDeep delivers AI-powered decision-making systems for the Enterprise, to solve complex industrial problems.","Artificial Intelligence, Information Technology"
Seed Round - Peak,https://www.crunchbase.com/funding_round/peak-4-seed--3cb1f5dc,"Manchester, Manchester, United Kingdom, Europe",Peak,https://www.crunchbase.com/organization/peak-4,Seed,1350000,USD,1350000,2016-07-08,Praetura Ventures,1,Peak is a decision intelligence company that provides a platform to offer data analysis services.,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning"
Seed Round - LandVault,https://www.crunchbase.com/funding_round/advir-seed--af9aaff1,"London, England, United Kingdom, Europe",LandVault,https://www.crunchbase.com/organization/advir,Seed,,,,2017-02-15,Axel Boris,1,LandVault is a programmatic monetization platform for in-game advertising.,"Advertising, Internet, Marketing, Social Media Advertising, Virtual Reality"
Seed Round - Popsa,https://www.crunchbase.com/funding_round/popsa-seed--b740a880,"London, England, United Kingdom, Europe",Popsa,https://www.crunchbase.com/organization/popsa,Seed,2300000,GBP,3205436,2018-03-15,"500 Global, Guinness Ventures, John Hegarty, octopus investments, Pembroke VCT, The Garage Soho",6,"Popsa is a machine learning startup that automatically designs, makes, and delivers personalized physical products.","Artificial Intelligence, E-Commerce, Machine Learning, Printing, Retail Technology"
Series A - Disperse.io,https://www.crunchbase.com/funding_round/disperse-io-series-a--641c33f3,"London, England, United Kingdom, Europe",Disperse.io,https://www.crunchbase.com/organization/disperse-io,Series A,15000000,USD,15000000,2019-10-22,"Frontline Ventures, Kindred Capital, Northzone, Revolt Ventures",4,Disperse.io is a VC-backed artificial intelligence construction startup focused on improving on-site productivity.,"Artificial Intelligence, Construction, Information Technology, Machine Learning"
Series A - Flo Health,https://www.crunchbase.com/funding_round/owhealth-series-a--5dca574b,"London, England, United Kingdom, Europe",Flo Health,https://www.crunchbase.com/organization/owhealth,Series A,7500000,USD,7500000,2019-05-08,"Elysium Venture Capital, Eugene Nevgen, Flint Capital, Founders Fund, Nikita Bier, Sergey Gonchar, Social Discovery Group, Zachary Hargreaves",8,Flo is an AI-powered women’s health app that supports women at every stage of their reproductive cycle.,"Artificial Intelligence, Health Care, mHealth, Wellness, Women's"
Seed Round - Flock,https://www.crunchbase.com/funding_round/flockcover-seed--fdf0f55b,"London, England, United Kingdom, Europe",Flock,https://www.crunchbase.com/organization/flockcover,Seed,400000,GBP,501197,2016-12-14,"Downing Ventures, London Co-Investment Fund, Will Brooks, Will Martin",4,London-based insurtech building the world's first fully digital insurance company for connected and autonomous commercial vehicles,"Artificial Intelligence, Automotive, Autonomous Vehicles, Big Data, FinTech, Fleet Management, Insurance, InsurTech, Software"
Seed Round - Lifebit,https://www.crunchbase.com/funding_round/lifebit-ai-seed--4d374926,"London, England, United Kingdom, Europe",Lifebit,https://www.crunchbase.com/organization/lifebit-ai,Seed,120000,USD,120000,2017-07-17,Techstars,1,"Lifebit CloudOS is the intelligent genomics platform that is the industry standard for unified, secure research over distributed big data.","Artificial Intelligence, Bioinformatics, Biotechnology, Cloud Data Services, Genetics, Life Science, Machine Learning, Pharmaceutical, Software"
Seed Round - Flock,https://www.crunchbase.com/funding_round/flockcover-seed--0ee2e314,"London, England, United Kingdom, Europe",Flock,https://www.crunchbase.com/organization/flockcover,Seed,100000,GBP,123529,2016-12-21,R/GA IoT Venture Studio UK,1,London-based insurtech building the world's first fully digital insurance company for connected and autonomous commercial vehicles,"Artificial Intelligence, Automotive, Autonomous Vehicles, Big Data, FinTech, Fleet Management, Insurance, InsurTech, Software"
Seed Round - Papier,https://www.crunchbase.com/funding_round/papier-seed--bca48173,"London, England, United Kingdom, Europe",Papier,https://www.crunchbase.com/organization/papier,Seed,,,,2016-01-01,Samos Investments,1,"Papier offers customizable stationery such as wedding cards, notebooks, planners, and notecards.","E-Commerce, Paper Manufacturing, Product Design"
Series A - LandVault,https://www.crunchbase.com/funding_round/advir-series-a--3554d961,"London, England, United Kingdom, Europe",LandVault,https://www.crunchbase.com/organization/advir,Series A,7000000,USD,7000000,2020-06-17,"Force Over Mass Capital, Nigel Morris, Speedinvest, Sure Valley Ventures",4,LandVault is a programmatic monetization platform for in-game advertising.,"Advertising, Internet, Marketing, Social Media Advertising, Virtual Reality"
