search URL:,https://patents.google.com/?assignee=glasgow+univ&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-202215411-U,Electromagnetic field ignition coupling device for internal combustion engine ,"四川得弘电子科技有限公司, 英国格拉斯哥大学","李耘, 孙方, 陈伟, 邹谋举",2011-09-28,2011-09-28,2012-05-09,2012-05-09,https://patents.google.com/patent/CN202215411U/en,https://patentimages.storage.googleapis.com/30/72/cb/745ea957414e4b/110928160341.png
GB-2552933-B,Optical illuminator ,Univ Court Of Glasgow Caledonian Univ,"Ramirez-Iniguez Roberto, Babadi Sina, Boutaleb Tuleen",2016-07-26,2016-07-26,2023-01-25,2023-01-25,https://patents.google.com/patent/GB2552933B/en,
US-2017362184-A1,Pro-survival compounds ,"University Court Of The University Of Glasgow, Heriot-Watt University","Joanne Mountford, Graeme Milligan, Dave Adams",2014-12-11,2015-12-11,2017-12-21,,https://patents.google.com/patent/US20170362184A1/en,https://patentimages.storage.googleapis.com/38/79/88/48df2660ee38aa/US20170362184A1-20171221-D00001.png
US-9642875-B2,Compounds and their effects on appetite control and insulin sensitivity ,"The University Court Of The University Of Glasgow, Imperial Innovations Limited","Gary Frost, Douglas Morrison, Thomas Preston",2012-07-31,2013-07-31,2017-05-09,2017-05-09,https://patents.google.com/patent/US9642875B2/en,https://patentimages.storage.googleapis.com/ad/40/0f/0a87010ff50466/US09642875-20170509-D00001.png
GB-201810312-D0,TSPO binders ,"Univ Court Univ Of Glasgow, Univ Edinburgh",,2018-06-22,2018-06-22,2018-08-08,,https://patents.google.com/patent/GB201810312D0/en,
US-10767153-B2,Mechanical bioreactor ,"The University Court Of The University Of Glasgow, The University Of The West Of Scotland","Matthew Dalby, Habib NIKUKAR, Gabriel PEMBERTON, Adam CURTIS, Stuart Reid, Peter Childs",2015-08-19,2016-08-19,2020-09-08,2020-09-08,https://patents.google.com/patent/US10767153B2/en,https://patentimages.storage.googleapis.com/16/c8/c6/392a9ea1ccae6f/US10767153-20200908-D00000.png
GB-201708369-D0,Insect trap ,"Univ Court Univ Of Glasgow, Ifakara Health Inst",,2014-10-31,2015-10-30,2017-07-12,,https://patents.google.com/patent/GB201708369D0/en,
GB-201709006-D0,Method of fabricating a monolithic sensor device from a layered structure ,Univ Court Univ Of Glasgow,,2017-06-06,2017-06-06,2017-07-19,,https://patents.google.com/patent/GB201709006D0/en,
GB-201712556-D0,Materials and methods for inducing regulatory T cells ,Univ Court Univ Of Glasgow,,2017-08-04,2017-08-04,2017-09-20,,https://patents.google.com/patent/GB201712556D0/en,
GB-201801170-D0,Use of polyoxometalate mediators ,Univ Court Univ Of Glasgow,,2018-01-24,2018-01-24,2018-03-07,,https://patents.google.com/patent/GB201801170D0/en,
GB-201800299-D0,Digital reactioware ,Univ Court Univ Of Glasgow,,2018-01-09,2018-01-09,2018-02-21,,https://patents.google.com/patent/GB201800299D0/en,
