search URL:,https://patents.google.com/?assignee=Univ+Sheffield&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2015141951-A,semiconductor light-emitting element ,"株式会社Ｑｄレーザ, Qd Laser Inc, ユニバーシティー オブ シェフィールド, Univ Of Sheffield, ユニバーシティー  オブ  シェフィールド","研一 西, Kenichi Nishi, 研一 西, 健生 影山, Tatsuo Kageyama, 健生 影山, 武政　敬三, Keizo Takemasa, 敬三 武政, 菅原　充, Mitsuru Sugawara, 充 菅原, ホッグ リチャード, Hogg Richard, ホッグ リチャード, チェン シミン, Shi-Ming Chen, チェン シミン",2014-01-27,2014-01-27,2015-08-03,,https://patents.google.com/patent/JP2015141951A/en,https://patentimages.storage.googleapis.com/2f/7f/68/74e5c79a1b1789/2015141951-6.png
US-2021013357-A1,Photodiode ,"University College Cardiff Consultants Limited, The Regents Of The University Of California, University Of Sheffield","Baolai Liang, Shiyu Xie, Diana Lynne Huffaker, John Paul Raj DAVID, Chee Hing Tan",2019-07-08,2019-07-08,2021-01-14,,https://patents.google.com/patent/US20210013357A1/en,https://patentimages.storage.googleapis.com/db/55/e8/11f7acbe6fe751/US20210013357A1-20210114-D00000.png
WO-2012028874-A1,Cytotoxic luminescent metal complexes ,University Of Sheffield,"Jim A. Thomas, Carl Smythe",2010-09-01,2011-08-31,2012-03-08,,https://patents.google.com/patent/WO2012028874A1/en,
WO-2011148157-A3,Method of machining hard material with a minimum of chip segmentation chatter ,The University Of Sheffield,"Christopher Martin Taylor, Neil David Sims",2010-05-27,2011-05-19,2012-01-19,,https://patents.google.com/patent/WO2011148157A3/en,
EP-3183544-B1,Deriving contact stress or contact load using ultrasound data ,The University Of Sheffield,"Robin MILLS, Robert DWYER-JOYCE, Andrew Hunter, Wenqu Chen",2014-08-22,2015-07-22,2021-05-19,2021-05-19,https://patents.google.com/patent/EP3183544B1/en,https://patentimages.storage.googleapis.com/0b/d8/64/77bd96a6d25267/imgf0001.png
WO-2018162919-A1,Titanium alloys ,"Ilika Technologies Limited, University Of Sheffield","Audrey COOPER, Sergey YAKOLEV, Ranjit KAUR, Thomas CARPY, Iain Todd",2017-03-10,2018-03-09,2018-09-13,,https://patents.google.com/patent/WO2018162919A1/en,
WO-2011098807-A1,Apparatus and Method for Aerodynamic Drag Reduction ,The University Of Sheffield,Ning Qin,2010-02-11,2011-02-09,2011-08-18,,https://patents.google.com/patent/WO2011098807A1/en,
WO-2019166087-A1,Implantable nerve guidance conduit for nerve repair ,"Fundación Tekniker, The University of Westminster, The University Of Sheffield, Servicio De Salud De Castilla La Mancha","Santos MERINO ÁLVAREZ, Iban QUINTANA FERNÁNDEZ, María del Carmen MÁRQUEZ POSADAS, Xabier MENDIBIL BLASCO, Xabier BAZÁN GOÑI, Ruth DÍEZ AHEDO, Ipsita Roy, Pooja BASNETT, Rinat Nigmatullin, Barbara LUKASIEWICZ, John William HAYCOCK, Frederik Claeyssens, Colin SHERBORNE, Adam GLEN, Caroline TAYLOR, Francisco Javier RODRÍGUEZ MUÑOZ, Francisco Jesús GONZÁLEZ PÉREZ",2018-02-28,2018-02-28,2019-09-06,,https://patents.google.com/patent/WO2019166087A1/en,
WO-2019220136-A1,Hydrogel compositions ,"L V Prasad Eye Institute, University Of Bradford, University Of Sheffield","Prashant Garg, Stephen Rimmer, Charles William Ian DOUGLAS",2018-05-17,2019-05-17,2019-11-21,,https://patents.google.com/patent/WO2019220136A1/en,
WO-2016027086-A1,Respiration monitoring apparatus ,"Sheffield Hallam University, Sheffield Children's Nhs Foundation Trust","John Travis, Reza Saatchi, Ben Hughes, Anthony Jones, Alan HOLLOWAY",2014-08-20,2015-08-19,2016-02-25,,https://patents.google.com/patent/WO2016027086A1/en,
US-10300065-B2,Method of treating or prevention of atherothrombotic events in patients with history of myocardial infarction ,Astrazeneca Ab,"Lars Magnus ANDERSSON, Tomas Lars-Gunnar ANDERSSON, Olof Fredrik BENGTSSON, Hans Peter HELD, Garnet Edward Howells, Eva Christina JENSEN, Robert Storey",2015-01-27,2016-01-27,2019-05-28,2019-05-28,https://patents.google.com/patent/US10300065B2/en,https://patentimages.storage.googleapis.com/0b/0a/1e/bfe8ed15236198/US10300065-20190528-D00001.png
AU-2012330932-B2,Pulmonary hypertension ,The University Of Sheffield,Allan LAWRIE,2011-11-01,2012-10-23,2017-08-31,2017-08-31,https://patents.google.com/patent/AU2012330932B2/en,
EP-3837699-A1,Volumetric blood flow ,The University of Sheffield,"Paul Morris, Julian Gunn, David Rodney Hose, Patricia LAWFORD",2018-08-13,2019-08-08,2021-06-23,,https://patents.google.com/patent/EP3837699A1/en,
GB-202012750-D0,Foam stabilisation ,Univ Sheffield,,2020-08-14,2020-08-14,2020-09-30,,https://patents.google.com/patent/GB202012750D0/en,
GB-201604231-D0,Normally-off transistors ,Univ Sheffield,,2016-03-11,2016-03-11,2016-04-27,,https://patents.google.com/patent/GB201604231D0/en,
GB-201703137-D0,Methods and systems for producing three dimensional objects ,Univ Sheffield,,2017-02-27,2017-02-27,2017-04-12,,https://patents.google.com/patent/GB201703137D0/en,
