search URL:,https://patents.google.com/?assignee=Univ+Leeds&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019167773-A1,Methods and materials for treating cancer ,"Mayo Foundation For Medical Education And Research, University Of Leeds","Richard G. Vile, Timothy J. Kottke, Jill M. Thompson, Jose S. Pulido, Alan A. Melcher, Peter Selby",2014-03-19,2018-12-05,2019-06-06,,https://patents.google.com/patent/US20190167773A1/en,https://patentimages.storage.googleapis.com/37/00/52/59d0a2806c9a7b/US20190167773A1-20190606-D00001.png
GB-201103631-D0,Identification of candidate therapeutics ,Univ Leeds,,2011-03-03,2011-03-03,2011-04-13,,https://patents.google.com/patent/GB201103631D0/en,
US-2019256413-A1,Novel Material ,University Of Leeds,"Gin Jose, Toney Teddy Fernandez, Peter John Grant, Animesh Jha, Sikha Saha, David Paul Steenson",2012-02-08,2019-02-08,2019-08-22,,https://patents.google.com/patent/US20190256413A1/en,https://patentimages.storage.googleapis.com/e4/b7/81/01ba3a53847daa/US20190256413A1-20190822-D00000.png
US-9951103-B2,Beta sheet tapes ribbons in tissue engineering ,University Of Leeds,"Neville Boden, Amalia Aggeli, Eileen Ingham, Jennifer Kirkham",2002-07-15,2017-03-16,2018-04-24,2018-04-24,https://patents.google.com/patent/US9951103B2/en,https://patentimages.storage.googleapis.com/97/17/3e/1b9c13967131ae/US09951103-20180424-D00001.png
AU-2014203460-A1,Acellular vascular products ,Tissue Regenix Limited,"John Fisher, Eileen Ingham, Stacy-Paul Wilshaw",2010-09-27,2014-06-25,2014-07-17,,https://patents.google.com/patent/AU2014203460A1/en,
CN-103229371-A,Device ,利兹大学,"金·约塞, 阿尼梅什·扎, 大卫·保罗·司定森",2009-09-10,2010-09-10,2013-07-31,,https://patents.google.com/patent/CN103229371A/en,https://patentimages.storage.googleapis.com/40/f7/6d/f97ba9be68d0ee/HSB00000940206600031.png
WO-2020002930-A1,Improvements in and relating to optical elements ,University Of Leeds,"John Clifford Jones, Markus WAHLE",2018-06-27,2019-06-27,2020-01-02,,https://patents.google.com/patent/WO2020002930A1/en,
US-9809828-B2,Modified plant cell ,University Of Leeds,"Stefan Kepinski, Martin Kieffer, Suruchi Roychoudhry",2013-12-11,2013-12-11,2017-11-07,2017-11-07,https://patents.google.com/patent/US9809828B2/en,https://patentimages.storage.googleapis.com/e1/c1/97/13a2e2705a5db0/US09809828-20171107-D00001.png
US-2015132507-A1,Medium For Random Laser And Manufacturing Process of the Same ,University Of Leeds,"Gin Jose, Animesh Jha, David Paul Steenson",2012-05-25,2015-01-20,2015-05-14,,https://patents.google.com/patent/US20150132507A1/en,https://patentimages.storage.googleapis.com/f3/f2/70/8cfb087dd4fdad/US20150132507A1-20150514-D00001.png
GB-201610893-D0,Passive cooling system for wind tower ,Univ Leeds Innovations Ltd,,2013-12-09,2014-07-24,2016-08-03,,https://patents.google.com/patent/GB201610893D0/en,
EP-2686874-A2,Oxide removal from semiconductor surfaces ,The University Of Leeds,"Lianhe Li, Alexander DAVIES, Edmund Linfield",2011-03-14,2012-03-14,2014-01-22,,https://patents.google.com/patent/EP2686874A2/en,
